CITY_CODE;CITY_NAME;TOTAL_VOTERS;ISSUED_VOTES;VALID_VOTES;PARTIES
513130;Dolany;188;131;129;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Èeská pirátská strana|Unie H.A.V.E.L.|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
512991;Drnek;141;100;100;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Èeská pirátská strana|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|Svob.a pø.dem.-T.Okamura (SPD)
532274;Druec;830;564;563;Obèanská demokratická strana|Øád národa - Vlastenecká unie|CESTA ODPOVÌDNÉ SPOLEÈNOSTI|Èeská str.sociálnì demokrat.|Radostné Èesko|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Èeská pirátská strana|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532282;Døetovice;366;226;224;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Obèanská demokratická aliance|Èeská pirátská strana|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|REALISTÉ|SPORTOVCI|Svob.a pø.dem.-T.Okamura (SPD)
532291;Døínov;255;140;140;Obèanská demokratická strana|Øád národa - Vlastenecká unie|CESTA ODPOVÌDNÉ SPOLEÈNOSTI|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)
513075;Hobšovice;282;141;141;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|Strana svobodnıch obèanù|Obèanská demokratická aliance|Èeská pirátská strana|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)
532312;Horní Bezdìkov;482;381;381;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Obèanská demokratická aliance|Èeská pirátská strana|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Svob.a pø.dem.-T.Okamura (SPD)
532321;Hoøešovice;214;144;142;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|Svob.a pø.dem.-T.Okamura (SPD)
535150;Hoøešovièky;99;60;60;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|Svob.a pø.dem.-T.Okamura (SPD)
532339;Hospozín;415;192;191;Obèanská demokratická strana|Øád národa - Vlastenecká unie|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|Strana svobodnıch obèanù|Èeská pirátská strana|Referendum o Evropské unii|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)
